I_TRIP_ID,S_LORRY_RECPT_NO,S_VEHICLE_ID,S_PRODUCT_ID,DT_DEP_DATETIME,DT_BOOK_DATETIME,S_CONSIGNOR_ID,S_CONSIGNOR_NAME,S_TRANSPORTER_ID,S_TRANSPORTER_NAME,C_TRIP_CLOSE_REASON,C_IS_DELETED,I_ORIGIN_LOC_CODE,S_GOODS_DESC,I_QTY,S_UOM_CODE,S_DESTINATION_LOC_NAME,DT_EXP_ARR_DATETIME,S_CONSIGNEE_ID,S_CONSIGNEE_NAME,S_CONSIGNEE_CITY,C_STATUS,S_ORIGIN_LOC_NAME,S_SUPP_PRODUCT_ID,DT_CREATED,S_INVOICE,DT_ATA,DT_OFFLOAD,DT_ATA_OUT 
762505,-,HR38Q5983,189879,01-Jan-2013 03:04:00,,112,TATA STEEL,295,DARCL LOGISTICS LIMITED,S,N,,-,0,-,FARIDABAD,04-Jan-2013 00:00:00,-,TATA STEEL LTD,,O,JAMSHEDPUR,1230040000000026322,05-Jan-2013 16:37:16,,05-Jan-2013 12:45:00,20-Feb-2013 01:11:28, 
762544,-,HR38Q5505,189874,01-Jan-2013 02:09:00,,112,TATA STEEL,295,DARCL LOGISTICS LIMITED,S,N,,-,0,-,FARIDABAD,04-Jan-2013 00:00:00,-,RAKESH STEELS,,O,JAMSHEDPUR,1230040000000013759,05-Jan-2013 16:39:34,,04-Jan-2013 09:08:00,20-Feb-2013 01:11:07, 
762567,-,HR38Q7360,195902,01-Jan-2013 01:58:00,,112,TATA STEEL,295,DARCL LOGISTICS LIMITED,S,N,,-,0,-,FARIDABAD,04-Jan-2013 00:00:00,-,TATA RYERSON LTD.,,O,JAMSHEDPUR,1230040000000017990,05-Jan-2013 16:40:58,,07-Jan-2013 13:26:00,20-Feb-2013 01:12:33, 
762616,-,NL01G2448,216777,01-Jan-2013 02:10:00,,112,TATA STEEL,295,DARCL LOGISTICS LIMITED,S,N,,-,0,-,FARIDABAD,04-Jan-2013 00:00:00,-,TATA RYERSON LTD.,,O,JAMSHEDPUR,1230040000000036529,05-Jan-2013 16:43:54,,05-Jan-2013 13:33:00,20-Feb-2013 01:27:36, 
762745,-,NL01G2151,176588,01-Jan-2013 05:07:00,,112,TATA STEEL,295,DARCL Logistics Limited,S,N,,-,0,-,FARIDABAD,05-Jan-2013 00:00:00,-,TATA STEEL LTD,,O,JAMSHEDPUR,1230040000000012124,05-Jan-2013 16:51:43,,05-Jan-2013 13:44:00,20-Feb-2013 01:26:16, 
762718,-,HR38L8352,216749,01-Jan-2013 01:51:00,,112,TATA STEEL,241,FRONTLINE ASSOCIATES,S,N,,-,0,-,KANPUR,05-Jan-2013 00:00:00,-,TATA STEEL LTD,,O,JAMSHEDPUR,1230040000000031561,05-Jan-2013 16:50:11,,04-Jan-2013 07:55:00,20-Feb-2013 01:09:53, 
762664,-,HR38F4679,346788,01-Jan-2013 03:24:00,,112,TATA STEEL,445,VANGUARD INTERNATIONAL,A,N,,-,0,-,JAMSHEDPUR,01-Jan-2013 00:00:00,-,CRM COMPLEX BARA,,O,JAMSHEDPUR,1230040000000037345,05-Jan-2013 16:46:51,,,09-Jan-2013 00:00:33, 
758346, ,AP37TB9120,,01-Jan-2013 18:49:00,,,HY 65TPD - HYDERABAD 65 TPD,316,BOC-HYDERABAD-BULK,S,,,,,,MEDAK,04-Jan-2013 00:00:00,,AUROBINDO PHARMA LTD.-UNIT 1,,,HY 65TPD - HYDERABAD 65 TPD,,01-Jan-2013 23:35:17,,02-Jan-2013 08:17:00,02-Jan-2013 09:00:03, 
758183, ,MH04DS7297,,01-Jan-2013 01:34:00,,,BELLARY II - 1800 TPD PLANT - BELLARY II,355,BOC-TALOJA-BULK,P,,,,,,NEW MUMBAI,04-Jan-2013 00:00:00,,BOC INDIA LIMITED-TALOJA NEW ASU,,,BELLARY II - 1800 TPD PLANT -,,01-Jan-2013 16:35:05,,,01-Jan-2013 23:35:49, 
758185, ,MH04FD7346,,01-Jan-2013 07:50:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,MUMBAI,04-Jan-2013 00:00:00,,BHABHA ATOMIC RESEARCH CENTRE(CPU),,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 16:35:06,,01-Jan-2013 18:12:00,01-Jan-2013 19:00:51, 
758186, ,MH04DS6059,,01-Jan-2013 07:54:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,AHMEDNAGAR,04-Jan-2013 00:00:00,,GKN SINTER METALS LTD.- NAGAR,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 16:35:06,,01-Jan-2013 16:40:00,01-Jan-2013 17:00:48, 
758188, ,MH06AQ5003,,01-Jan-2013 08:30:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,AURANGABAD,04-Jan-2013 00:00:00,,MARATHWADA MEDICAL & RESEARCH INST,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 16:35:07,,01-Jan-2013 20:21:00,01-Jan-2013 21:00:04, 
758189, ,MH04EB1322,,01-Jan-2013 08:40:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,P,,,,,,RAIGAD,04-Jan-2013 00:00:00,,GALAXY SURFACTANTS LTD,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 16:35:07,,,01-Jan-2013 23:35:14, 
758388, ,TN21AA2813,,01-Jan-2013 15:47:00,,,CH NEWSITE - CHENNAI NEW SITE,358,BOC-CHENNAI,S,,,,,,CHENNAI,04-Jan-2013 00:00:00,,VENTURE POWER SYSTEMS INDIA LTD.,,,CH NEWSITE - CHENNAI NEW SITE,,01-Jan-2013 23:35:32,,02-Jan-2013 15:31:00,02-Jan-2013 16:00:08, 
758405, ,MH46F3085,,01-Jan-2013 14:30:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,PUNE,04-Jan-2013 00:00:00,,KALYANI CARPENTER SPECIAL STEELS LTD,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:38,,02-Jan-2013 06:24:00,02-Jan-2013 07:00:37, 
758414, ,MH06AQ1365,,01-Jan-2013 12:25:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,S,,,,,,AHMEDABAD,04-Jan-2013 00:00:00,,BOC(I) LTDA_C-AHMEDABAD BRANCH,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:41,,02-Jan-2013 20:58:00,02-Jan-2013 22:00:04, 
758415, ,MH04FD8336,,01-Jan-2013 12:07:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,P,,,,,,BOMBAY,04-Jan-2013 00:00:00,,BOMBAY HOSPITAL-NEW BUILD,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:41,,,01-Jan-2013 23:35:42, 
758416, ,MH04FD8336,,01-Jan-2013 12:07:00,,,NEW TALOJA - BOC INDIA LIMITED-TALOJA NEW TP,355,BOC-TALOJA-BULK,P,,,,,,MUMBAI,04-Jan-2013 00:00:00,,BHATIA GENERAL HOSPITAL,,,NEW TALOJA - BOC INDIA LIMITE,,01-Jan-2013 23:35:42,,,01-Jan-2013 23:35:42, 
